pass 2, stk 1, steps 360, max0 21, max1 79
pass 2, stk 1, steps 362, max0 22, max1 78
pass 2, stk 1, steps 363, max0 22, max1 78
pass 2, stk 1, steps 364, max0 22, max1 78
pass 2, stk 1, steps 365, max0 22, max1 78
pass 2, stk 1, steps 366, max0 22, max1 78
pass 2, stk 1, steps 367, max0 22, max1 78
pass 2, stk 1, steps 368, max0 22, max1 78
pass 2, stk 1, steps 369, max0 23, max1 77
pass 2, stk 1, steps 370, max0 23, max1 77
pass 2, stk 1, steps 371, max0 23, max1 77
pass 2, stk 1, steps 372, max0 23, max1 77
pass 2, stk 1, steps 373, max0 23, max1 77
pass 2, stk 1, steps 374, max0 23, max1 77
pass 2, stk 1, steps 376, max0 24, max1 76
pass 2, stk 1, steps 377, max0 24, max1 76
pass 2, stk 1, steps 378, max0 24, max1 76
pass 2, stk 1, steps 379, max0 24, max1 76
pass 2, stk 1, steps 380, max0 24, max1 76
pass 2, stk 1, steps 381, max0 24, max1 76
pass 2, stk 1, steps 382, max0 24, max1 76
pass 2, stk 1, steps 383, max0 24, max1 76
pass 2, stk 1, steps 384, max0 24, max1 76
pass 2, stk 1, steps 385, max0 24, max1 76
pass 2, stk 1, steps 386, max0 24, max1 76
pass 2, stk 1, steps 387, max0 25, max1 75
pass 2, stk 1, steps 388, max0 25, max1 75
pass 2, stk 1, steps 389, max0 25, max1 75
pass 2, stk 1, steps 390, max0 25, max1 75
pass 2, stk 1, steps 391, max0 25, max1 75
pass 2, stk 1, steps 392, max0 25, max1 75
pass 2, stk 1, steps 393, max0 25, max1 75
pass 2, stk 1, steps 394, max0 25, max1 75
pass 2, stk 1, steps 396, max0 26, max1 74
pass 2, stk 1, steps 397, max0 26, max1 74
pass 2, stk 1, steps 399, max0 27, max1 73
pass 2, stk 1, steps 400, max0 27, max1 73
pass 2, stk 1, steps 401, max0 27, max1 73
pass 2, stk 1, steps 402, max0 27, max1 73
pass 2, stk 1, steps 403, max0 27, max1 73
pass 2, stk 1, steps 404, max0 27, max1 73
pass 2, stk 1, steps 405, max0 27, max1 73
pass 2, stk 1, steps 406, max0 27, max1 73
pass 2, stk 1, steps 407, max0 27, max1 73
pass 2, stk 1, steps 408, max0 27, max1 73
pass 2, stk 1, steps 409, max0 27, max1 73
pass 2, stk 1, steps 410, max0 27, max1 73
pass 2, stk 1, steps 411, max0 27, max1 73
pass 2, stk 1, steps 412, max0 27, max1 73
pass 2, stk 1, steps 414, max0 28, max1 72
pass 2, stk 1, steps 416, max0 29, max1 71
pass 2, stk 1, steps 417, max0 29, max1 71
pass 2, stk 1, steps 419, max0 30, max1 70
pass 2, stk 1, steps 420, max0 30, max1 70
pass 2, stk 1, steps 421, max0 30, max1 70
pass 2, stk 1, steps 422, max0 30, max1 70
pass 2, stk 1, steps 423, max0 30, max1 70
pass 2, stk 1, steps 424, max0 30, max1 70
pass 2, stk 1, steps 425, max0 31, max1 69
pass 2, stk 1, steps 426, max0 31, max1 69
pass 2, stk 1, steps 427, max0 31, max1 69
pass 2, stk 1, steps 428, max0 31, max1 69
pass 2, stk 1, steps 429, max0 31, max1 69
pass 2, stk 1, steps 430, max0 31, max1 69
pass 2, stk 1, steps 431, max0 31, max1 69
pass 2, stk 1, steps 432, max0 31, max1 69
pass 2, stk 1, steps 433, max0 31, max1 69
pass 2, stk 1, steps 434, max0 31, max1 69
pass 2, stk 1, steps 435, max0 31, max1 69
